date,grade,AQI,AQI_ranking,PM25,PM10,SO2,CO,NO2,O3
2022-03-01,优,25,9,6,17,2,10,0.25,68
2022-03-02,优,43,52,16,44,2,25,0.40,49
2022-03-03,良,57,98,24,68,4,26,0.56,53
2022-03-04,良,72,158,27,97,2,24,0.47,54
2022-03-05,优,32,25,7,31,2,10,0.23,66
2022-03-06,优,48,116,21,52,4,35,0.43,44
2022-03-07,优,50,142,25,55,3,34,0.48,46
2022-03-08,良,78,218,54,99,5,48,0.75,45
2022-03-09,轻度污染,132,317,99,166,7,51,1.04,65
2022-03-10,重度污染,203,336,153,246,5,47,1.24,79
2022-03-11,轻度污染,129,313,96,166,4,36,1.00,64
2022-03-12,良,63,165,42,68,2,28,0.62,62
2022-03-13,良,82,221,60,81,2,29,0.78,50
2022-03-14,优,49,88,30,51,2,17,0.47,68
2022-03-15,良,68,180,46,85,2,24,0.65,62
2022-03-16,良,82,238,48,113,2,28,0.68,50
2022-03-17,优,40,184,17,40,3,18,0.48,50
2022-03-18,良,60,265,43,54,3,24,0.58,31
2022-03-19,优,38,92,24,28,2,18,0.38,58
2022-03-20,良,53,214,37,52,2,28,0.41,51
2022-03-21,优,22,60,9,15,2,15,0.25,62
2022-03-22,优,28,106,14,27,2,22,0.28,52
2022-03-23,良,74,284,53,73,2,32,0.49,34
2022-03-24,轻度污染,124,317,94,129,2,42,0.78,17
2022-03-25,轻度污染,114,322,57,141,2,28,0.57,38
2022-03-26,良,67,258,14,84,2,20,0.26,59
2022-03-27,优,30,61,6,27,2,12,0.20,75
2022-03-28,良,69,255,28,87,2,23,0.33,69
2022-03-29,良,79,295,53,103,2,26,0.50,51
2022-03-30,优,42,128,30,42,2,19,0.49,39
2022-03-31,优,30,71,13,19,2,15,0.30,51
