date,grade,AQI,AQI_ranking,PM25,PM10,SO2,CO,NO2,O3
2022-03-01,良,69,185,49,75,11,35,0.75,44
2022-03-02,良,57,114,37,63,10,34,0.70,35
2022-03-03,良,67,146,48,79,11,42,0.87,27
2022-03-04,良,74,168,53,87,12,46,0.89,30
2022-03-05,良,76,212,56,90,12,46,0.93,24
2022-03-06,良,65,207,45,75,12,38,0.85,45
2022-03-07,良,55,171,32,61,11,39,0.80,56
2022-03-08,良,52,109,26,57,11,36,0.74,72
2022-03-09,良,66,159,41,82,16,48,0.95,71
2022-03-10,良,71,186,49,91,18,49,0.97,79
2022-03-11,良,64,160,43,78,12,40,0.89,80
2022-03-12,良,55,116,31,61,12,39,0.83,67
2022-03-13,良,61,154,39,72,13,42,0.91,59
2022-03-14,良,68,174,46,82,16,41,0.96,63
2022-03-15,良,60,149,38,67,13,32,0.79,71
2022-03-16,优,48,113,24,49,10,30,0.73,56
2022-03-17,优,46,230,24,48,11,30,0.75,67
2022-03-18,优,43,159,19,41,12,26,0.69,79
2022-03-19,优,40,107,17,38,11,21,0.73,79
2022-03-20,优,32,61,16,32,8,17,0.71,46
2022-03-21,优,13,11,7,13,7,15,0.69,27
2022-03-22,优,15,10,8,15,7,17,0.66,32
2022-03-23,优,28,89,15,28,7,23,0.69,32
2022-03-24,优,32,94,17,32,9,27,0.76,31
2022-03-25,优,48,189,29,50,10,29,0.75,28
2022-03-26,优,34,79,19,35,7,23,0.66,34
2022-03-27,优,35,101,18,35,7,22,0.60,43
2022-03-28,优,42,129,18,44,8,29,0.65,48
2022-03-29,良,57,215,27,65,13,43,0.70,33
2022-03-30,良,60,222,41,66,11,35,0.74,21
2022-03-31,优,22,16,12,19,7,20,0.57,50
