date,grade,AQI,AQI_ranking,PM25,PM10,SO2,CO,NO2,O3
2022-03-01,良,88,248,65,107,6,39,0.86,84
2022-03-02,轻度污染,128,325,97,150,6,40,0.93,70
2022-03-03,良,92,250,67,125,6,56,0.89,60
2022-03-04,良,55,87,36,62,5,48,0.79,54
2022-03-05,良,71,194,35,91,7,43,0.70,60
2022-03-06,优,49,119,10,51,5,27,0.41,67
2022-03-07,优,36,61,19,36,5,29,0.50,57
2022-03-08,优,48,85,25,55,5,40,0.61,50
2022-03-09,良,69,176,39,88,6,56,0.66,57
2022-03-10,良,62,135,30,75,6,55,0.68,42
2022-03-11,良,64,158,34,78,6,52,0.69,59
2022-03-12,良,64,171,37,79,6,53,0.66,62
2022-03-13,良,53,116,28,59,5,37,0.63,59
2022-03-14,良,83,209,57,111,6,45,0.92,60
2022-03-15,良,71,188,41,90,6,39,0.85,102
2022-03-16,良,71,203,47,89,6,58,0.88,74
2022-03-17,优,35,148,17,36,4,38,0.65,32
2022-03-18,优,25,30,11,22,4,24,0.55,53
2022-03-19,良,64,241,44,71,4,40,0.76,25
2022-03-20,优,28,44,17,26,4,26,0.60,55
2022-03-21,优,21,58,4,7,4,22,0.59,67
2022-03-22,优,25,83,12,18,4,26,0.58,66
2022-03-23,优,44,177,28,44,4,33,0.64,58
2022-03-24,优,41,152,23,39,5,36,0.66,62
2022-03-25,优,24,41,11,23,4,32,0.65,42
2022-03-26,优,34,81,22,33,4,22,0.76,68
2022-03-27,良,63,241,42,75,6,40,0.79,53
2022-03-28,良,59,218,29,67,5,31,0.56,68
2022-03-29,良,57,211,31,64,6,40,0.59,63
2022-03-30,良,61,225,35,72,6,47,0.77,59
2022-03-31,良,54,267,36,60,5,30,0.71,79
