date,grade,AQI,AQI_ranking,PM25,PM10,SO2,CO,NO2,O3
2022-03-01,优,34,60,13,32,12,18,0.52,65
2022-03-02,良,56,102,27,61,14,34,0.75,47
2022-03-03,中度污染,176,333,56,245,14,32,0.72,55
2022-03-04,轻度污染,136,307,36,193,6,6,0.33,86
2022-03-05,优,46,66,12,48,9,15,0.43,71
2022-03-06,良,52,137,21,59,12,32,0.57,52
2022-03-07,优,33,50,14,32,11,23,0.53,59
2022-03-08,良,54,123,27,59,13,45,0.73,47
2022-03-09,良,77,201,47,104,19,54,0.84,51
2022-03-10,轻度污染,112,302,75,166,17,56,0.92,71
2022-03-11,良,84,231,44,116,12,30,0.66,88
2022-03-12,良,60,151,27,65,8,18,0.49,76
2022-03-13,轻度污染,112,275,35,166,10,20,0.50,73
2022-03-14,轻度污染,150,263,57,229,10,21,0.47,75
2022-03-15,重度污染,203,296,57,310,7,15,0.39,87
2022-03-16,优,44,97,12,52,6,8,0.30,82
2022-03-17,优,42,206,28,32,7,21,0.63,54
2022-03-18,优,49,209,28,32,6,15,0.56,62
2022-03-19,优,25,18,7,14,8,12,0.35,75
2022-03-20,优,26,30,8,16,7,14,0.34,75
2022-03-21,优,26,91,6,14,8,11,0.33,82
2022-03-22,优,37,168,23,32,9,24,0.53,62
2022-03-23,轻度污染,110,323,83,100,8,30,0.76,54
2022-03-24,良,83,277,51,88,11,33,0.68,56
2022-03-25,良,67,246,20,85,9,17,0.35,71
2022-03-26,良,76,295,29,104,10,22,0.42,56
2022-03-27,优,38,120,15,39,10,25,0.45,59
2022-03-28,良,67,249,32,83,13,43,0.63,48
2022-03-29,优,47,146,20,55,9,23,0.41,68
2022-03-30,优,31,69,10,30,9,14,0.37,72
2022-03-31,优,28,58,9,23,8,18,0.38,69
