date,grade,AQI,AQI_ranking,PM25,PM10,SO2,CO,NO2,O3
2022-03-01,轻度污染,103,288,43,157,13,47,1.00,46
2022-03-02,良,76,222,38,103,17,58,1.14,43
2022-03-03,良,72,166,36,94,17,53,1.01,50
2022-03-04,良,69,144,30,87,12,35,0.76,71
2022-03-05,良,81,230,38,112,18,59,0.98,46
2022-03-06,良,75,252,37,101,15,56,0.96,50
2022-03-07,轻度污染,101,312,45,152,21,77,1.37,35
2022-03-08,良,84,238,43,118,19,63,1.37,49
2022-03-09,轻度污染,117,293,55,185,14,59,1.09,58
2022-03-10,轻度污染,101,288,52,153,23,77,1.46,43
2022-03-11,轻度污染,111,289,49,171,17,51,1.10,64
2022-03-12,轻度污染,143,326,66,236,19,59,1.15,54
2022-03-13,重度污染,203,331,72,289,24,52,1.10,52
2022-03-14,重度污染,204,293,93,332,15,55,1.05,56
2022-03-15,轻度污染,101,247,44,152,9,39,0.82,62
2022-03-16,良,82,240,35,114,16,47,0.90,51
2022-03-17,中度污染,197,331,79,280,11,23,0.68,74
2022-03-18,轻度污染,111,325,43,173,11,29,0.63,64
2022-03-19,良,78,303,28,105,15,24,0.67,71
2022-03-20,良,58,245,19,66,10,14,0.71,90
2022-03-21,优,50,223,21,53,8,17,0.80,80
2022-03-22,良,51,233,23,57,8,21,0.61,73
2022-03-23,良,73,278,32,95,16,43,1.00,55
2022-03-24,轻度污染,141,326,53,215,12,30,0.64,58
2022-03-25,良,72,256,32,94,10,12,0.47,87
2022-03-26,优,50,173,25,51,13,21,0.53,88
2022-03-27,良,51,192,22,54,12,28,0.55,76
2022-03-28,良,79,288,36,108,12,43,0.75,59
2022-03-29,良,92,317,41,134,9,13,0.48,88
2022-03-30,良,68,258,28,86,14,31,0.62,66
2022-03-31,良,54,264,21,58,9,28,0.56,79
