date,grade,AQI,AQI_ranking,PM25,PM10,SO2,CO,NO2,O3
2022-03-01,良,97,271,72,113,6,34,0.95,90
2022-03-02,轻度污染,114,318,81,141,5,41,0.92,70
2022-03-03,轻度污染,103,279,61,156,5,56,0.78,80
2022-03-04,良,79,191,45,105,4,41,0.70,97
2022-03-05,轻度污染,110,304,25,170,5,34,0.47,65
2022-03-06,良,59,180,15,68,5,27,0.60,71
2022-03-07,良,52,151,21,54,5,33,0.62,64
2022-03-08,良,62,164,22,74,6,45,0.75,63
2022-03-09,良,71,183,35,93,5,36,0.63,102
2022-03-10,良,66,164,35,83,7,42,0.76,84
2022-03-11,良,76,203,43,93,8,53,0.75,93
2022-03-12,良,80,232,52,98,6,41,0.80,92
2022-03-13,良,89,239,64,106,6,40,0.88,86
2022-03-14,轻度污染,115,242,69,148,4,31,0.91,54
2022-03-15,良,62,156,28,73,5,28,0.74,99
2022-03-16,良,75,220,47,98,5,35,0.82,116
2022-03-17,优,29,101,13,21,3,11,0.45,75
2022-03-18,优,43,162,28,44,4,23,0.71,45
2022-03-19,良,67,255,48,71,4,25,0.70,43
2022-03-20,优,37,110,26,33,4,20,0.53,51
2022-03-21,优,22,59,11,14,4,16,0.49,69
2022-03-22,优,30,121,15,26,5,19,0.47,75
2022-03-23,优,41,161,26,41,5,20,0.56,85
2022-03-24,优,45,169,28,43,5,24,0.57,85
2022-03-25,优,23,35,14,21,4,20,0.60,54
2022-03-26,良,54,197,32,54,4,19,0.79,78
2022-03-27,良,69,265,30,88,5,34,0.61,69
2022-03-28,良,53,192,24,58,4,18,0.56,92
2022-03-29,优,50,165,26,52,5,22,0.46,102
2022-03-30,良,62,233,41,72,6,31,0.68,100
2022-03-31,良,51,248,34,52,4,20,0.54,77
