date,grade,AQI,AQI_ranking,PM25,PM10,SO2,CO,NO2,O3
2022-03-01,轻度污染,115,305,87,112,5,42,0.94,82
2022-03-02,良,82,241,60,96,6,41,0.75,77
2022-03-03,良,78,187,51,101,9,46,0.72,88
2022-03-04,良,51,67,34,50,5,43,0.64,70
2022-03-05,良,93,273,42,121,4,35,0.58,61
2022-03-06,优,41,70,8,42,4,22,0.42,75
2022-03-07,优,42,111,20,46,5,37,0.56,64
2022-03-08,良,64,171,39,75,6,55,0.65,57
2022-03-09,良,67,163,39,78,7,37,0.58,97
2022-03-10,良,65,158,31,80,6,31,0.60,108
2022-03-11,良,61,150,32,72,7,56,0.65,63
2022-03-12,优,49,88,26,50,7,40,0.55,57
2022-03-13,优,50,105,29,53,6,33,0.60,68
2022-03-14,良,66,164,45,72,6,41,0.75,66
2022-03-15,良,57,127,30,63,6,30,0.76,95
2022-03-16,良,54,137,32,59,8,41,0.74,87
2022-03-17,优,19,3,11,13,4,23,0.60,47
2022-03-18,优,38,126,24,32,4,29,0.77,51
2022-03-19,良,71,273,51,67,4,32,0.85,43
2022-03-20,优,25,21,14,20,4,21,0.60,70
2022-03-21,优,27,97,7,8,4,16,0.59,84
2022-03-22,优,32,140,12,26,4,17,0.60,92
2022-03-23,优,34,123,20,34,5,24,0.65,86
2022-03-24,优,30,83,12,28,5,26,0.53,83
2022-03-25,优,26,67,11,17,4,20,0.65,74
2022-03-26,优,40,128,26,36,4,22,0.80,75
2022-03-27,良,61,235,33,76,8,38,0.78,68
2022-03-28,优,35,84,12,33,4,14,0.51,92
2022-03-29,优,34,45,13,33,5,18,0.53,94
2022-03-30,优,39,114,24,41,6,21,0.70,102
2022-03-31,优,44,194,26,43,4,16,0.74,92
