date,grade,AQI,AQI_ranking,PM25,PM10,SO2,CO,NO2,O3
2022-03-01,优,43,88,22,43,4,39,0.61,64
2022-03-02,良,58,116,35,64,4,40,0.73,72
2022-03-03,优,47,64,29,43,4,15,0.75,117
2022-03-04,优,39,34,25,38,5,35,0.75,73
2022-03-05,良,51,85,31,54,5,44,0.78,68
2022-03-06,优,41,67,17,40,4,12,0.61,110
2022-03-07,优,38,82,14,34,5,17,0.65,77
2022-03-08,优,29,16,9,22,5,16,0.47,91
2022-03-09,优,33,21,10,30,5,22,0.48,87
2022-03-10,优,36,24,12,36,4,22,0.53,83
2022-03-11,优,38,36,14,38,4,30,0.55,63
2022-03-12,优,32,28,13,30,4,21,0.54,67
2022-03-13,优,33,35,14,33,4,19,0.55,60
2022-03-14,优,28,13,12,26,4,21,0.55,50
2022-03-15,优,27,16,14,27,5,28,0.54,47
2022-03-16,优,25,18,13,24,5,11,0.53,73
2022-03-17,优,19,2,10,19,4,13,0.55,45
2022-03-18,优,41,146,27,42,5,28,0.65,59
2022-03-19,优,45,143,27,37,5,15,0.70,101
2022-03-20,优,30,53,14,23,4,9,0.68,95
2022-03-21,优,35,150,23,35,5,13,0.70,70
2022-03-22,优,27,97,18,25,5,15,0.61,49
2022-03-23,优,12,8,4,8,4,17,0.68,33
2022-03-24,优,15,7,5,9,4,16,0.68,43
2022-03-25,优,24,39,8,16,4,13,0.55,50
2022-03-26,优,27,32,17,26,4,15,0.50,17
2022-03-27,优,27,38,14,27,4,17,0.78,41
2022-03-28,优,17,9,9,16,4,20,0.77,30
2022-03-29,优,26,14,15,26,4,28,0.73,25
2022-03-30,优,35,89,16,31,4,26,0.70,56
2022-03-31,优,30,73,13,28,4,24,0.60,64
