date,grade,AQI,AQI_ranking,PM25,PM10,SO2,CO,NO2,O3
2022-03-01,优,39,72,16,39,5,13,0.30,72
2022-03-02,良,56,101,22,63,11,32,0.46,53
2022-03-03,良,81,207,43,113,14,51,0.64,40
2022-03-04,中度污染,181,325,48,266,6,20,0.31,69
2022-03-05,良,66,171,20,83,8,21,0.33,59
2022-03-06,良,83,278,46,116,12,45,0.66,34
2022-03-07,良,79,264,42,109,12,42,0.69,48
2022-03-08,良,93,262,56,135,15,44,0.72,65
2022-03-09,轻度污染,126,307,90,198,13,50,0.83,73
2022-03-10,轻度污染,146,329,107,230,14,63,1.06,82
2022-03-11,中度污染,159,329,121,218,8,34,0.90,84
2022-03-12,轻度污染,106,287,79,120,6,30,0.80,66
2022-03-13,轻度污染,150,305,114,156,5,40,0.99,35
2022-03-14,轻度污染,142,260,84,206,5,31,0.90,51
2022-03-15,轻度污染,142,277,80,234,8,36,0.83,64
2022-03-16,轻度污染,105,278,70,156,5,30,0.67,55
2022-03-17,优,48,239,21,49,4,15,0.30,61
2022-03-18,优,48,198,24,50,6,20,0.38,55
2022-03-19,良,66,248,47,70,4,27,0.52,50
2022-03-20,良,94,317,70,104,9,38,0.85,46
2022-03-21,轻度污染,120,321,91,136,9,46,0.75,38
2022-03-22,良,96,307,71,113,7,57,0.68,22
2022-03-23,轻度污染,106,320,78,128,9,42,0.73,47
2022-03-24,轻度污染,150,329,113,160,7,37,0.83,38
2022-03-25,轻度污染,126,327,92,156,6,41,0.79,21
2022-03-26,轻度污染,104,323,40,153,11,38,0.65,50
2022-03-27,优,50,189,16,56,5,16,0.30,77
2022-03-28,良,80,290,32,111,9,28,0.52,61
2022-03-29,良,100,324,65,143,7,37,0.80,37
2022-03-30,良,89,311,65,97,4,25,0.77,35
2022-03-31,良,56,271,35,60,4,24,0.62,52
