date,grade,AQI,AQI_ranking,PM25,PM10,SO2,CO,NO2,O3
2022-03-01,优,28,21,8,24,5,18,0.36,69
2022-03-02,良,58,118,29,66,7,40,0.59,49
2022-03-03,良,78,186,47,104,12,50,0.83,39
2022-03-04,良,95,255,45,128,10,42,0.87,43
2022-03-05,优,42,50,11,43,6,31,0.46,51
2022-03-06,良,52,142,26,57,12,54,0.76,35
2022-03-07,良,56,176,33,67,9,46,0.75,43
2022-03-08,良,94,269,68,127,14,62,1.05,52
2022-03-09,轻度污染,143,328,109,179,14,77,1.31,41
2022-03-10,轻度污染,129,322,95,180,11,57,1.08,78
2022-03-11,轻度污染,114,294,86,146,11,37,1.11,77
2022-03-12,轻度污染,122,306,92,120,9,50,1.29,36
2022-03-13,良,98,255,73,93,7,41,1.13,39
2022-03-14,良,57,127,38,61,6,27,0.68,64
2022-03-15,良,89,228,65,115,9,39,0.95,56
2022-03-16,良,69,199,36,90,9,27,0.77,57
2022-03-17,优,40,186,14,40,8,18,0.57,62
2022-03-18,良,64,286,45,63,7,31,0.90,40
2022-03-19,优,44,136,28,34,6,23,0.58,59
2022-03-20,优,47,188,31,48,9,31,0.63,65
2022-03-21,优,48,213,31,49,7,37,0.53,53
2022-03-22,优,39,184,24,40,9,27,0.55,64
2022-03-23,轻度污染,109,322,82,107,8,37,0.77,53
2022-03-24,轻度污染,113,307,84,115,9,40,0.87,36
2022-03-25,良,99,309,66,116,8,35,0.93,34
2022-03-26,良,69,265,18,89,6,26,0.42,63
2022-03-27,优,36,107,8,34,5,17,0.34,78
2022-03-28,良,57,206,32,65,10,28,0.55,79
2022-03-29,良,79,296,56,100,10,35,0.79,57
2022-03-30,优,35,91,22,34,8,21,0.83,62
2022-03-31,优,40,160,19,36,7,24,0.45,65
