date,grade,AQI,AQI_ranking,PM25,PM10,SO2,CO,NO2,O3
2022-03-01,良,97,273,49,126,8,50,0.78,39
2022-03-02,良,91,272,40,132,9,62,0.78,40
2022-03-03,良,98,263,59,145,13,80,1.15,44
2022-03-04,良,87,224,59,116,9,59,1.03,62
2022-03-05,良,89,261,55,127,10,70,1.05,60
2022-03-06,良,75,254,31,99,9,40,0.85,44
2022-03-07,优,47,134,20,48,7,31,0.68,58
2022-03-08,良,62,161,27,74,10,42,0.90,61
2022-03-09,良,56,105,24,64,13,44,0.87,69
2022-03-10,良,64,153,35,78,14,66,1.00,57
2022-03-11,良,77,211,49,104,15,70,1.18,68
2022-03-12,良,63,169,37,75,14,44,0.97,78
2022-03-13,良,65,173,46,76,8,42,0.94,56
2022-03-14,轻度污染,115,244,58,156,9,46,1.23,45
2022-03-15,轻度污染,148,280,66,238,9,40,1.21,68
2022-03-16,良,80,235,47,110,12,50,1.32,48
2022-03-17,优,22,13,5,13,6,13,0.73,64
2022-03-18,优,34,106,21,34,6,24,0.67,30
2022-03-19,良,54,193,36,57,6,29,0.90,24
2022-03-20,优,35,93,22,33,6,21,0.87,32
2022-03-21,优,13,13,4,6,6,21,0.74,38
2022-03-22,优,18,29,6,9,6,18,0.59,58
2022-03-23,优,23,54,14,18,6,21,0.59,59
2022-03-24,优,32,93,21,30,9,30,0.90,43
2022-03-25,优,20,20,12,16,6,28,0.98,31
2022-03-26,优,50,170,26,56,7,34,0.73,45
2022-03-27,良,65,249,33,79,9,41,0.78,46
2022-03-28,良,69,256,36,87,10,35,0.81,70
2022-03-29,优,42,110,22,42,11,31,0.80,72
2022-03-30,良,60,223,36,70,11,58,1.17,27
2022-03-31,良,68,298,48,73,6,19,0.93,53
