date,grade,AQI,AQI_ranking,PM25,PM10,SO2,CO,NO2,O3
2022-03-01,轻度污染,142,328,47,235,6,30,0.41,60
2022-03-02,轻度污染,134,327,65,218,8,55,0.66,34
2022-03-03,轻度污染,109,295,66,168,9,72,0.86,24
2022-03-04,良,91,237,48,131,8,50,0.70,45
2022-03-05,轻度污染,103,294,45,157,13,54,0.77,37
2022-03-06,轻度污染,129,328,73,207,13,57,0.84,37
2022-03-07,轻度污染,111,316,46,173,8,32,0.49,61
2022-03-08,轻度污染,118,315,62,185,11,59,0.75,42
2022-03-09,轻度污染,127,309,82,204,11,65,0.88,49
2022-03-10,轻度污染,136,324,87,222,11,76,1.03,55
2022-03-11,轻度污染,132,314,81,214,12,77,1.14,58
2022-03-12,良,83,242,40,118,7,40,0.82,72
2022-03-13,良,89,243,58,127,7,43,0.98,58
2022-03-14,严重污染,338,327,83,461,7,47,0.80,46
2022-03-15,严重污染,462,333,131,570,8,53,0.71,39
2022-03-16,中度污染,195,325,81,280,10,48,0.80,30
2022-03-17,良,75,309,49,92,5,20,0.86,55
2022-03-18,良,65,289,40,81,5,29,0.78,40
2022-03-19,良,95,323,53,140,7,35,0.82,25
2022-03-20,良,89,310,66,106,7,39,0.76,21
2022-03-21,良,98,305,73,98,6,37,0.80,19
2022-03-22,轻度污染,109,315,82,110,6,34,0.81,24
2022-03-23,轻度污染,102,319,76,113,5,45,0.85,31
2022-03-24,轻度污染,110,304,82,146,11,50,0.94,54
2022-03-25,良,75,266,35,99,6,34,0.61,38
2022-03-26,良,75,289,24,101,6,41,0.48,42
2022-03-27,轻度污染,124,330,43,198,9,45,0.59,37
2022-03-28,良,100,321,44,150,9,43,0.65,43
2022-03-29,良,92,318,47,135,8,57,0.75,27
2022-03-30,轻度污染,115,330,63,179,10,69,0.91,11
2022-03-31,良,94,326,45,139,10,51,0.85,29
